transaction_id,customer_name,region,industry_segment,product_sku,order_date,quantity,revenue_usd,sales_rep,notes
082F09F5,Global Pulp & Paper Inc,midwest,Recycling,KDT-4582,29-Jan-2024,184,110939.76,Sarah Wilson,follow up needed
1FA3E5B3,Global Pulp and Paper Inc,S.W.,Chemical,KDT-4811,10/14/2024,131,58540.92,Mary Brown,
E521F7AC,Companyntinental Packaging Group,S.W.,chem,KDT-1434,04-Aug-2024,3,30303.71,Patricia Jackson,Customer requested rush
30453DE8,  Heartland Processing Co  ,Northeastern,Timber,KDT-2519,05/30/2024,130,3252.54,Barbara Moore,
CE977758,Global  Pulp  &  Paper  Inc,N.E.,Recyc.,KDT-1409,2024-03-23,93,125023.58,Barbara Davis,
7BFDDFF5,  Global Pulp & Paper Inc  ,N.E.,Mining & Extraction,KDT-7201,"Feb 10, 2024",141,179916.95,Charles Lee,NEW ACCOUNT
1CD72151,Sequoia Wood Products,South West,chem,KDT-3547,2024-12-19,64,69963.27,Richard Smith,
0B7A1465,Pacific Recycling LLC,Northeast,Recycling,KDT-2519,01/04/2024,72,27875.52,Michael Jackson,
52AADB31,  Cascade Paper Products  ,SW,Pulp & Paper,KDT-7201,"Oct 22, 2024",91,20201.63,Thomas Johnson,
37B1FDA2,Global Pulp & Paper Inc,western,MINING,KDT-1488,25/02/2024,119,225563.26,John Thomas,discount applied 10%
2189CE80,GLOBAL PULP & PAPER INC,SE,Chem Proc,KDT-6514,10/03/2024,103,203977.24,Jennifer Wilson,
9890CDF0,Tidewater  Chemical  Co,intl,Chemicals,KDT-2535,20/08/2024,56,6796.68,Daniel Jackson,
0835A2A7,Evergreen  Forest  Industries,Southeast,Food & Beverage,KDT-1488,2024-10-26,153,-2504.1632763956777,Linda Wilson,
DA84ABA0,Sequoia Wood Products,north-east,wood prod,KDT-6635,23-Oct-2024,81,44718.22,Michael Hernandez,Urgent order
59247B7A,Global Pulp & Paper Inc,Northeast,chem,KDT-6635,2024-11-26,19,56057.35,Charles Rodriguez,
5C7C812C,sequoia wood products,S.W.,Timber,KDT-8527,05-May-2024,3,66586.66,Karen Martinez,
9DDC5CA7,Sequoia  Wood  Products,South East,Waste Management,KDT-4582,29/02/2024,53,14122.08,David Moore,follow up needed
A20F53BC,Global Pulp & Paper Inc,Midwest,Paper,KDT-4733,01/27/2024,164,276626.4,Jennifer Thomas,discount applied 10%
CC60CB96,BlueRidge  Manufacturing,North East,food & bev,KDT-7912,"Feb 27, 2024",33,"$12,246.13",Susan Johnson,Repeat customer
B42425C8,Global  Pulp  &  Paper  Inc,S.W.,Wood,KDT-9279,02/22/2024,46,89727.09,James Garcia,Repeat customer
888523D8,Ironworks Heavy Equipment,MW,Wood Products,KDT-3615,2024-12-08,121,8553.53,Thomas Lopez,Customer requested rush
B87F8616,Lakeside Pulp Mills,Mid-West,Paper,KDT-5557,24-Apr-2024,103,13590.83,Karen Hernandez,
F9F7E0F9,Global Pulp & Paper Incorporated,Northeast,Food and Beverage,KDT-5557,01/04/2024,112,294288.7,Charles Brown,NEW ACCOUNT
EADC3985,Sequoia Wood Products,Pacific,Wood,KDT-1106,"Jan 23, 2024",18,18042.5,Richard Lee,Repeat customer
B60A3561,Redwood Fiber Solution,South West,Chemical,KDT-6881,06/02/2024,50,2094.54,Joseph Garcia,
47B76C35,Northern Timber Co,S.W.,Food/Bev,KDT-4527,"Jan 01, 2024",114,5354.69,Charles Taylor,
F1EFF9F9,Summit Mining Enterprises,NE,Timber,KDT-4811,12/05/2024,38,,Linda Taylor,
ABE555A9,Oakwood Materials Inc,Southeastern,Lumber,KDT-2674,"Jul 31, 2024",63,1786.01,James Brown,NEW ACCOUNT
0B6B6645,Global Pulp & Paper Inc,W,P&P,KDT-2424,"Dec 22, 2024",171,247100.35,Karen Lee,Repeat customer
D7E445D8,Sequoia  Wood  Products,S.W.,Chemicals,KDT-2139,"Nov 09, 2024",116,67328.87,Linda Rodriguez,discount applied 10%
391C4180,Midwest Steel Works,Mid-West,Waste Management,KDT-3286,08/13/2024,39,12146.14,Robert Miller,
8AA5A1F2,Global Pulp & Paper Inc,south-west,Food & Beverage,KDT-1750,26-Aug-2024,98,112812.26,Susan Martinez,NEW ACCOUNT
E3D719E2,Oakwood  Materials  Inc,W,Chemicals,KDT-4257,"Aug 02, 2024",125,,Richard Wilson,
F41F796A,Oakwood Materials Inc,Pacific,Wood Products,KDT-3286,"Nov 14, 2024",35,12626.86,Jennifer Johnson,Customer requested rush
B1D14871,Global Pulp & Paper Inc,midwest,Recycling,KDT-6514,2024-06-16,192,78980.87,Susan Davis,
210CD7CF,Ironworks Heavy Equipment,N.E.,Mining & Extraction,KDT-2424,"Jan 16, 2024",172,12845.53,Michael Thomas,Customer requested rush
65D76BFC,HEARTLAND PROCESSING CO,South East,pulp/paper,KDT-1409,06/11/2024,148,1874.38,Joseph Wilson,Urgent order
6EDF1C75,Global Pulp & Paper Incorporated,Overseas,pulp/paper,KDT-5506,17/11/2024,137,214893.74,Susan Williams,discount applied 10%
0BD91220,CONTINENTAL PACKAGING GROUP,South West,Lumber,KDT-6925,08/03/2024,112,2799.03,Charles Rodriguez,
4D96CD15,Lakeside Pulp Mills,Mid-West,Mining,KDT-4257,"Sep 04, 2024",63,8763.71,Daniel Lee,NEW ACCOUNT
189FDC10,Global Pulp & Paper Inc,Mid-West,recycling,KDT-1711,15/06/2024,143,,Michael Williams,Urgent order
89949F91,Cascade Paper Product,Global,Chemical Processing,KDT-3286,03/05/2024,57,11819.03,Linda Martinez,
F629B808,Global  Pulp  &  Paper  Inc,Mid-West,Lumber,KDT-4257,25/06/2024,65,175977.09,Michael Hernandez,
99F317E5,Evergreen Forest Industries,Global,Waste Management,KDT-1750,19-Dec-2024,153,20577.06,Patricia Miller,Customer requested rush
DCC0E1CE,global pulp & paper inc,Midwest,pulp/paper,KDT-9928,01/08/2024,164,69838.15,Sarah Brown,
CF2B9F7A,Northern Timber Co,midwest,Pulp & Paper,KDT-7924,"Aug 13, 2024",19,6071.93,Mary Jones,
AF4D2A00,LAKESIDE PULP MILLS,western,food & bev,KDT-8527,02/13/2024,199,14718.14,Thomas Thomas,Customer requested rush
9C128ED4,Prairie Grain Handlers,West,Mining & Extraction,KDT-1434,2024-06-05,41,10394.66,Karen Williams,
A5630A3A,Acme Industrial Corp,South East,Timber,KDT-5803,"Oct 31, 2024",19,13930.21,David Martin,Urgent order
618B9AF5,Global Pulp & Paper Incorporated,Southeast,Pulp and Paper,KDT-7873,27-Nov-2024,192,173448.53,Barbara Thomas,
6F6051F6,Midwest  Steel  Works,western,Chemical Processing,KDT-1711,2024-07-25,111,14720.8,Nancy Rodriguez,
94C5F159,Global Pulp & Paper Inc,Intl.,Food & Beverage,KDT-1750,10/21/2024,121,291879.63,Thomas Rodriguez,
D24AC749,  Tidewater Chemical Co  ,midwest,recycling,KDT-7201,2024-09-08,42,10292.24,Sarah Martinez,NEW ACCOUNT
259B1D5E,Lakeside Pulp Mills,Midwest,chem,KDT-2824,20-Aug-2024,119,8936.48,Michael Moore,Repeat customer
0D63F3AF,Continental Packaging Group,Mid West,mining,KDT-3547,"Aug 14, 2024",32,,Nancy Davis,
F161859A,GLOBAL PULP & PAPER INC,Southwest,Wood,KDT-2674,27/07/2024,131,22798.41,Jessica Taylor,follow up needed
148F0675,Global Pulp and Paper Inc,W,Paper,KDT-4733,"Jul 15, 2024",88,175350.56,Charles Rodriguez,
2E446F4C,Global Pulp & Paper In,SW,chem,KDT-6514,27/10/2024,86,103639.23,Karen Wilson,follow up needed
700D4E9D,Sequoia Wood Products,south east,Paper,KDT-2139,"Dec 23, 2024",181,65795.2,Joseph Wilson,
4196D70E,Midwest Steel Works,north-east,pulp/paper,KDT-4527,2024-09-14,185,4116.83,Robert Williams,follow up needed
5F465AE4,Ironworks Heavy Equipmen,North East,wood prod,KDT-3615,15/11/2024,161,5930.68,Sarah Jackson,
