dirty_customer,dirty_region,dirty_segment
Global Pulp & Paper Inc,midwest,Recycling
Global Pulp and Paper Inc,S.W.,Chemical
Companyntinental Packaging Group,S.W.,chem
  Heartland Processing Co  ,Northeastern,Timber
Global  Pulp  &  Paper  Inc,N.E.,Recyc.
  Global Pulp & Paper Inc  ,N.E.,Mining & Extraction
Sequoia Wood Products,South West,chem
Pacific Recycling LLC,Northeast,Recycling
  Cascade Paper Products  ,SW,Pulp & Paper
Global Pulp & Paper Inc,western,MINING
GLOBAL PULP & PAPER INC,SE,Chem Proc
Tidewater  Chemical  Co,intl,Chemicals
Evergreen  Forest  Industries,Southeast,Food & Beverage
Sequoia Wood Products,north-east,wood prod
Global Pulp & Paper Inc,Northeast,chem
sequoia wood products,S.W.,Timber
Sequoia  Wood  Products,South East,Waste Management
Global Pulp & Paper Inc,Midwest,Paper
BlueRidge  Manufacturing,North East,food & bev
Global  Pulp  &  Paper  Inc,S.W.,Wood
Ironworks Heavy Equipment,MW,Wood Products
Lakeside Pulp Mills,Mid-West,Paper
Global Pulp & Paper Incorporated,Northeast,Food and Beverage
Sequoia Wood Products,Pacific,Wood
Redwood Fiber Solution,South West,Chemical
Northern Timber Co,S.W.,Food/Bev
Summit Mining Enterprises,NE,Timber
Oakwood Materials Inc,Southeastern,Lumber
Global Pulp & Paper Inc,W,P&P
Sequoia  Wood  Products,S.W.,Chemicals
Midwest Steel Works,Mid-West,Waste Management
Global Pulp & Paper Inc,south-west,Food & Beverage
Oakwood  Materials  Inc,W,Chemicals
Oakwood Materials Inc,Pacific,Wood Products
Ironworks Heavy Equipment,N.E.,Mining & Extraction
HEARTLAND PROCESSING CO,South East,pulp/paper
Global Pulp & Paper Incorporated,Overseas,pulp/paper
CONTINENTAL PACKAGING GROUP,South West,Lumber
Lakeside Pulp Mills,Mid-West,Mining
Global Pulp & Paper Inc,Mid-West,recycling
Cascade Paper Product,Global,Chemical Processing
Global  Pulp  &  Paper  Inc,Mid-West,Lumber
Evergreen Forest Industries,Global,Waste Management
global pulp & paper inc,Midwest,pulp/paper
Northern Timber Co,midwest,Pulp & Paper
LAKESIDE PULP MILLS,western,food & bev
Prairie Grain Handlers,West,Mining & Extraction
Acme Industrial Corp,South East,Timber
